"id","no","sort","status","name","link","menu_type","created","modified"
"1","1","1","1","ホーム","/","default","",""
"2","2","2","1","会社案内","/about.html","default","",""
"3","3","3","1","サービス","/service.html","default","",""
"4","4","4","1","ニュースリリース","/news/index","default","",""
"5","5","5","1","お問い合わせ","/contact/index","default","",""
"6","6","6","1","サイトマップ","/sitemap.html","default","",""
"7","1","1","1","ダッシュボード","/admin/dashboard/index","admin","",""
"8","2","2","1","ユーザー管理","/admin/users/index","admin","",""
"9","3","3","1","ニュース管理","/admin/blog/blog_posts/index/1","admin","",""
"10","4","4","1","ページ管理","/admin/pages/index","admin","",""
"11","5","5","1","お問合せ管理","/admin/mail/mail_fields/index/1","admin","",""
"12","6","6","1","フィード管理","/admin/feed/feed_configs/index","admin","",""
"13","7","7","1","システム設定","/admin/site_configs/form","admin","",""
